Tilenum, RMS
17357, 0.2873
9172, 0.1131
9173, 0.1436
27311, 0.2229
9188, 0.1498
30312, 0.0939
9194, 0.1913
25583, 0.1693
25591, 0.2898
25593, 0.1959
25594, 0.2972
25595, 0.3117
25596, 0.2350
25597, 0.2393
25598, 0.3953
1027, 0.1428
1030, 0.3503
1031, 0.6516
30629, 1.4905
1033, 0.1275
31000, 0.4606
1037, 0.3777
1039, 0.4839
17425, 0.1299
25619, 0.1954
31001, 1.5881
22130, 1.2957
25622, 0.9824
1048, 0.3070
1049, 0.9982
1050, 0.2750
1052, 0.2902
1053, 0.4497
1054, 0.2066
9247, 0.1670
25634, 1.2681
1060, 0.7781
1061, 0.3150
1062, 0.3559
1063, 0.3138
1071, 0.3161
1072, 0.3592
17457, 0.1948
1076, 0.3648
1077, 0.4194
29631, 4.3387
9272, 0.1105
9273, 0.1839
1082, 0.2742
30218, 0.2757
25132, 0.3440
25673, 0.2324
24759, 0.3075
17487, 0.2711
9299, 0.1724
23630, 1.0165
9302, 0.5087
17499, 0.3525
17502, 0.5976
1119, 0.1799
1121, 0.4453
17506, 0.4414
17507, 1.3335
1124, 0.5764
1125, 0.5177
1126, 0.6150
1127, 0.6963
25709, 0.2059
25952, 0.2036
26131, 0.8024
17524, 0.1062
1141, 0.2538
31012, 0.4900
30228, 0.2651
1157, 0.7455
1159, 0.3104
9353, 0.1498
9354, 0.4483
9355, 0.1637
25742, 0.2575
1168, 0.2688
1169, 0.5464
1170, 0.2995
1171, 0.6171
30045, 0.2526
1176, 0.8990
1177, 1.3097
30234, 0.7163
30235, 1.4145
25764, 0.3022
17580, 0.1944
26141, 0.3685
17594, 0.1954
25790, 0.1280
17601, 0.3784
32087, 0.5035
1231, 0.2226
9426, 0.2131
9427, 0.1893
1238, 0.7391
26148, 0.1561
1242, 0.1950
1244, 1.3437
35706, 0.2664
39803, 1.1281
1253, 0.3212
1255, 0.3266
1261, 0.2793
9455, 1.2394
1264, 0.2317
1266, 0.2946
1272, 0.3838
9466, 0.4817
9468, 0.5024
1284, 1.7607
1285, 1.3102
1287, 1.4998
1290, 0.1859
1292, 1.3436
1293, 0.5982
1294, 1.0965
1295, 0.4943
1296, 0.6581
12504, 0.5484
1298, 0.6393
1299, 0.1721
1300, 0.2575
1301, 0.3257
1302, 0.2380
1303, 0.2973
9496, 0.1527
9497, 0.3274
1306, 0.4168
9499, 0.7260
1308, 0.2589
1309, 0.2915
1310, 0.3322
1311, 0.3275
9504, 0.3923
30256, 0.0997
9506, 0.2724
1316, 1.2049
1317, 0.4289
1318, 1.0436
1319, 0.4264
9515, 0.1714
1324, 1.0861
1325, 0.3635
1326, 0.7090
1327, 0.3220
1328, 0.3539
1329, 0.3185
1330, 0.3898
1331, 0.3846
1332, 0.3184
1333, 0.3664
1334, 0.3919
1335, 0.3781
1336, 0.3001
1337, 0.3606
1338, 0.3110
1339, 0.3374
1340, 0.3580
1341, 0.4509
1342, 0.3554
1343, 0.3218
1344, 0.3538
1345, 1.3843
1346, 0.3013
1347, 1.0038
30262, 0.0880
1352, 0.3872
1353, 1.2630
1354, 0.3804
1355, 0.8860
17740, 0.1709
17741, 0.1762
24450, 2.0879
35725, 0.3874
9553, 0.2052
25938, 0.3368
25939, 0.1699
17748, 0.2145
17749, 0.2813
25942, 0.2151
25943, 0.2334
25944, 0.2568
25945, 0.2793
25947, 0.2103
25948, 0.3099
25951, 0.2774
1376, 0.4409
1377, 1.2602
1378, 0.4611
1379, 1.0784
25957, 0.3007
25958, 0.1090
9575, 0.1793
1384, 0.5051
1385, 1.2314
1386, 0.3598
1387, 1.1694
25964, 0.2725
25965, 0.2783
25966, 0.1106
25967, 0.1818
25970, 0.2528
9588, 0.7167
25973, 0.2908
9590, 0.3114
25976, 0.3399
