# (YYYYMMDD.frac) (YYYY-MM-DDThh:mm:ss) () () () (um) (deg)  () ()  () () (pW)  (pW)  (pW)  (pW)  (pW)  (Jy/asec^2/pW)  (Jy/asec^2/pW)  (Jy/bm/pW)  (Jy/bm/pW)  (Jy/pW)  (Jy/pW)  (")  ()
# UT   HST  Obs  Source  Mode  Filter  El  Airmass  Trans  Tau225  Tau  Flux_ap  Err_ap  Noise  Peak_obs  Peak_fit  FCFasec  FCFasec_err  FCFbeam  FCFbeam_err  FCFmatch  FCFmatch_err  FWHMmain  Error_beam
20110512.6531597  2011-05-12T05:40:33    66  URANUS  daisy        850  34  1.75  0.388  0.122  0.540  22.5508  0.0272  0.00008  0.08739  0.09241  2.6081  0.0031  622.1422  7.0733  639.1611  12.3015  13.98  0.952
20110910.5060532  2011-09-10T02:08:43    41  URANUS  daisy        850  66  1.09  0.795  0.050  0.211  28.5219  0.0302  0.00003  0.11705  0.12750  2.4295  0.0026  529.1179  6.3271  558.3113  10.1851  13.29  0.948
20111005.5191204  2011-10-05T02:27:32    45  URANUS  daisy        850  43  1.46  0.388  0.145  0.649  27.6502  0.0302  0.00007  0.10871  0.11760  2.5094  0.0027  574.4169  6.9695  602.0282  12.5469  13.64  0.951
20111008.4965625  2011-10-08T01:55:03    56  URANUS  daisy        850  47  1.35  0.522  0.109  0.481  25.1552  0.0234  0.00005  0.10350  0.10892  2.7550  0.0026  619.4639  7.7539  664.3027  15.1616  13.39  0.949
20111009.5319213  2011-10-09T02:45:58    58  URANUS  daisy        850  35  1.72  0.581  0.073  0.315  25.9093  0.0290  0.00006  0.10346  0.11048  2.6736  0.0030  610.4359  8.1506  673.4884  13.8141  13.61  0.951
20111010.5149537  2011-10-10T02:21:32    38  URANUS  daisy        850  40  1.55  0.590  0.078  0.340  26.5201  0.0245  0.00005  0.10921  0.11250  2.6108  0.0024  599.2104  7.8938  657.0131  13.8165  13.53  0.949
20111223.3340741  2011-12-22T22:01:04    27  URANUS  daisy        850  31  1.90  0.694  0.046  0.193  23.8777  0.0257  0.00005  0.09826  0.10321  2.6311  0.0028  594.0704  6.9209  628.7642  12.3067  13.61  0.950
20111224.3318171  2011-12-23T21:57:49    22  URANUS  daisy        850  31  1.90  0.729  0.040  0.166  24.1639  0.0260  0.00006  0.10127  0.10487  2.5954  0.0028  583.6974  6.3462  610.7939  12.9895  13.52  0.949
20111226.1928588  2011-12-25T18:37:43    11  URANUS  daisy        850  68  1.08  0.874  0.031  0.125  24.3641  0.0219  0.00004  0.09207  0.09881  2.5659  0.0023  617.5870  11.2126  704.0994  16.1387  14.12  0.953
20111227.1937500  2011-12-26T18:39:00    14  URANUS  daisy        850  68  1.08  0.740  0.065  0.280  24.2625  0.0277  0.00004  0.10318  0.10815  2.5723  0.0029  563.3085  7.1678  618.8430  11.9826  13.34  0.948
20111227.3295255  2011-12-26T21:54:31    32  URANUS  daisy        850  29  2.01  0.573  0.065  0.277  23.6309  0.0279  0.00006  0.09916  0.10155  2.6404  0.0031  599.7611  6.1838  616.4777  13.1393  13.59  0.948
20111228.1904861  2011-12-27T18:34:18    13  URANUS  daisy        850  68  1.08  0.810  0.047  0.195  24.0478  0.0267  0.00004  0.10798  0.11092  2.5909  0.0029  548.3220  6.4061  609.6782  12.1342  13.10  0.945
20111228.3347685  2011-12-27T22:02:04    34  URANUS  daisy        850  27  2.19  0.701  0.040  0.162  23.0501  0.0321  0.00005  0.09596  0.09908  2.7023  0.0038  613.6877  7.5386  677.8405  11.3777  13.72  0.949
20111229.2513542  2011-12-28T20:01:57    15  URANUS  daisy        850  53  1.25  0.655  0.078  0.339  24.3259  0.0258  0.00005  0.09877  0.10646  2.5566  0.0027  570.2824  7.2003  618.7483  11.2559  13.43  0.949
20120105.2310648  2012-01-04T19:32:44    11  URANUS  daisy        850  53  1.24  0.724  0.061  0.260  23.1591  0.0298  0.00006  0.09729  0.10079  2.6542  0.0034  595.5716  7.5261  648.1634  12.0479  13.53  0.949
20120105.2983449  2012-01-04T21:09:37    20  URANUS  daisy        850  32  1.88  0.570  0.069  0.300  23.8094  0.0273  0.00007  0.09379  0.10118  2.5815  0.0030  593.1886  6.4616  620.9327  12.6160  13.71  0.951
20120106.2427083  2012-01-05T19:49:30     9  URANUS  daisy        850  49  1.32  0.744  0.053  0.224  23.3551  0.0300  0.00006  0.09636  0.10038  2.6276  0.0034  597.0216  7.9198  651.0036  12.9546  13.47  0.950
20120106.2484491  2012-01-05T19:57:46    11  URANUS  daisy        850  47  1.36  0.726  0.055  0.235  23.6912  0.0261  0.00005  0.09553  0.10164  2.5903  0.0029  589.6189  8.1483  654.3926  12.2578  13.46  0.950
20120107.2770255  2012-01-06T20:38:55    21  URANUS  daisy        850  37  1.65  0.533  0.087  0.382  23.4806  0.0264  0.00007  0.08609  0.09060  2.6091  0.0029  660.3522  13.1066  722.6342  16.1318  14.01  0.955
20120108.2095833  2012-01-07T19:01:48    13  URANUS  daisy        850  57  1.19  0.714  0.066  0.284  23.2028  0.0249  0.00007  0.09414  0.09590  2.6364  0.0028  622.9529  8.9452  674.1308  15.8163  13.54  0.950
20120109.2724884  2012-01-08T20:32:23    14  URANUS  daisy        850  37  1.65  0.620  0.067  0.289  23.1675  0.0277  0.00006  0.09927  0.10252  2.6359  0.0032  581.7439  5.9180  601.8106  13.7534  13.43  0.948
20120112.2680556  2012-01-11T20:26:00    13  URANUS  daisy        850  35  1.70  0.701  0.050  0.209  23.0846  0.0251  0.00004  0.09627  0.10182  2.6328  0.0029  583.0436  6.6532  611.8426  14.4679  13.41  0.948
20120117.2270370  2012-01-16T19:26:56    11  URANUS  daisy        850  44  1.42  0.331  0.174  0.780  24.1509  0.0277  0.00009  0.09436  0.10132  2.4973  0.0029  581.5575  6.4022  595.5462  13.8733  13.73  0.951
20120118.2182523  2012-01-17T19:14:17    10  URANUS  daisy        850  46  1.37  0.345  0.173  0.777  23.8731  0.0277  0.00009  0.09092  0.09628  2.5226  0.0029  611.1057  8.2597  636.1469  13.5077  14.04  0.952
20120121.2188889  2012-01-20T19:15:12    11  URANUS  daisy        850  44  1.43  0.514  0.105  0.465  22.7436  0.0221  0.00006  0.08498  0.09003  2.6361  0.0026  650.6744  12.4292  747.5649  16.8806  13.89  0.954
20120128.1732523  2012-01-27T18:09:29    11  URANUS  daisy        850  52  1.26  0.721  0.061  0.261  22.3187  0.0227  0.00004  0.08591  0.09132  2.6603  0.0027  635.4434  13.3719  777.4532  16.0143  13.47  0.953
20120204.1974190  2012-02-03T18:44:17    10  URANUS  daisy        850  39  1.58  0.731  0.047  0.199  23.6695  0.0253  0.00004  0.09873  0.10367  2.4861  0.0027  554.8149  6.5171  595.9630  12.1844  13.45  0.949
20120205.1877662  2012-02-04T18:30:23    10  URANUS  daisy        850  41  1.50  0.840  0.030  0.116  23.5202  0.0250  0.00005  0.09416  0.10099  2.4989  0.0027  568.8889  6.7196  584.5997  13.5893  13.60  0.950
20120207.2061343  2012-02-06T18:56:50    10  URANUS  daisy        850  33  1.79  0.701  0.048  0.199  23.0370  0.0238  0.00005  0.09177  0.09625  2.5453  0.0026  595.5522  7.8406  631.2933  13.6865  13.80  0.951
20120208.1811343  2012-02-07T18:20:50    11  URANUS  daisy        850  41  1.52  0.823  0.032  0.128  22.2176  0.0222  0.00005  0.08456  0.09196  2.6362  0.0026  622.6300  7.6709  645.7982  12.4956  13.92  0.953
20120212.1784144  2012-02-11T18:16:55    10  URANUS  daisy        850  38  1.60  0.325  0.157  0.704  22.4637  0.0291  0.00009  0.08263  0.08626  2.5961  0.0034  661.0230  12.4303  738.4265  16.5989  14.01  0.955
20120213.1807523  2012-02-12T18:20:17    10  URANUS  daisy        850  37  1.65  0.556  0.081  0.355  22.4336  0.0242  0.00005  0.08544  0.09133  2.5968  0.0028  623.6345  9.4159  679.3417  15.4352  13.78  0.953
20120214.1803241  2012-02-13T18:19:40    13  URANUS  daisy        850  36  1.68  0.601  0.070  0.303  22.6236  0.0212  0.00006  0.08240  0.08859  2.5725  0.0024  642.2921  17.0846  820.1194  20.3618  13.60  0.955
20120215.1609028  2012-02-14T17:51:42    11  URANUS  daisy        850  41  1.49  0.731  0.050  0.210  22.7874  0.0229  0.00004  0.09142  0.09476  2.5515  0.0026  599.9170  9.1455  655.9895  13.2996  13.56  0.951
20120512.7103819  2012-05-12T07:02:57    92  URANUS  daisy        850  51  1.28  0.640  0.080  0.348  23.6431  0.0258  0.00005  0.09957  0.10467  2.4853  0.0027  548.7841  5.7504  577.6507  11.9525  13.32  0.948
20120513.7183333  2012-05-13T07:14:24    78  URANUS  daisy        850  54  1.23  0.525  0.118  0.525  22.8909  0.0239  0.00005  0.09660  0.09822  2.5700  0.0027  585.4886  6.0315  598.9910  12.6627  13.65  0.948
20120514.6570255  2012-05-14T05:46:07    70  URANUS  daisy        850  35  1.72  0.118  0.275  1.247  26.5005  0.0554  0.00026  0.10250  0.10712  2.2224  0.0046  537.4165  5.6364  540.7769  14.6008  14.10  0.952
20120516.7180556  2012-05-16T07:14:00    85  URANUS  daisy        850  56  1.19  0.696  0.070  0.303  23.0674  0.0242  0.00004  0.10392  0.10508  2.5596  0.0027  549.2004  5.4377  583.4871  11.8001  13.18  0.945
20120517.6880903  2012-05-17T06:30:51    69  URANUS  daisy        850  48  1.34  0.755  0.050  0.210  23.6610  0.0272  0.00004  0.09588  0.10019  2.4984  0.0029  576.6819  6.7525  587.0978  11.0741  13.63  0.950
20120518.6954630  2012-05-18T06:41:28    75  URANUS  daisy        850  51  1.28  0.763  0.050  0.212  23.4846  0.0255  0.00004  0.09927  0.10460  2.5203  0.0027  553.0631  5.4278  576.3947  11.5256  13.38  0.948
20120519.6882755  2012-05-19T06:31:07    68  URANUS  daisy        850  50  1.30  0.772  0.048  0.199  24.1372  0.0246  0.00004  0.10116  0.10641  2.4553  0.0025  544.2942  5.8826  571.1735  11.0955  13.48  0.948
20120520.6877546  2012-05-20T06:30:22    64  URANUS  daisy        850  50  1.29  0.760  0.051  0.213  24.5347  0.0238  0.00004  0.10680  0.11016  2.4186  0.0023  526.4325  5.1867  553.0594  10.9083  13.31  0.947
20120521.6833218  2012-05-21T06:23:59    66  URANUS  daisy        850  50  1.30  0.425  0.147  0.657  24.1872  0.0280  0.00008  0.10079  0.10478  2.4566  0.0028  554.1868  5.7948  561.8458  13.8372  13.51  0.948
20120523.7107060  2012-05-23T07:03:25    75  URANUS  daisy        850  60  1.15  0.777  0.052  0.218  23.6468  0.0229  0.00005  0.09458  0.10152  2.5195  0.0024  573.4841  6.6183  598.8588  13.0708  13.75  0.950
20120525.6480440  2012-05-25T05:33:11    67  URANUS  daisy        850  42  1.49  0.569  0.087  0.379  22.7193  0.0299  0.00006  0.09213  0.09968  2.6293  0.0035  585.6077  6.1828  613.5004  13.6518  13.44  0.949
20120528.6546759  2012-05-28T05:42:44    57  URANUS  daisy        850  47  1.37  0.733  0.054  0.227  23.1396  0.0254  0.00004  0.09653  0.09931  2.5925  0.0029  590.2238  6.1067  609.5585  12.2430  13.58  0.949
20120605.5947917  2012-06-05T04:16:30    11  URANUS  daisy        850  34  1.77  0.415  0.112  0.497  22.3794  0.0273  0.00008  0.09115  0.09379  2.7122  0.0033  632.1642  6.0664  634.8344  13.7506  13.91  0.950
20120606.6112963  2012-06-06T04:40:16    36  URANUS  daisy        850  40  1.53  0.553  0.088  0.387  22.6740  0.0273  0.00006  0.09614  0.09868  2.6811  0.0032  601.7018  5.6771  607.2876  13.3779  13.52  0.948
20120610.6891782  2012-06-10T06:32:25    65  URANUS  daisy        850  67  1.09  0.733  0.066  0.286  24.4141  0.0269  0.00004  0.10982  0.11111  2.5058  0.0028  537.7360  5.5792  573.1533  11.7208  13.19  0.945
20120624.7248611  2012-06-24T07:23:48    63  URANUS  daisy        850  69  1.07  0.782  0.054  0.230  24.2877  0.0257  0.00004  0.10162  0.10598  2.5772  0.0027  576.4801  8.5149  649.0649  13.5336  13.23  0.948
20120625.7296528  2012-06-25T07:30:42    79  URANUS  daisy        850  68  1.08  0.780  0.054  0.231  24.7234  0.0276  0.00004  0.10944  0.11312  2.5360  0.0028  540.9856  6.1394  592.8991  12.4050  13.08  0.945
20120627.5994444  2012-06-27T04:23:12    53  URANUS  daisy        850  54  1.22  0.814  0.041  0.169  25.9498  0.0270  0.00004  0.11429  0.11679  2.4237  0.0025  525.6029  5.4169  559.8937  10.9668  13.28  0.946
20120627.7214699  2012-06-27T07:18:55    65  URANUS  daisy        850  68  1.07  0.826  0.043  0.178  25.3854  0.0262  0.00004  0.11354  0.11582  2.4781  0.0026  530.1213  5.6666  567.5299  11.4628  13.18  0.945
20120701.6841782  2012-07-01T06:25:14    63  URANUS  daisy        850  72  1.05  0.803  0.050  0.210  24.2399  0.0291  0.00004  0.09911  0.10577  2.6125  0.0031  584.2452  8.1109  631.5037  12.6796  13.55  0.949
20120701.7448611  2012-07-01T07:52:37    73  URANUS  daisy        850  60  1.15  0.794  0.048  0.200  24.9341  0.0262  0.00004  0.10225  0.10768  2.5401  0.0027  573.9623  9.2267  657.1795  13.8006  13.34  0.950
20120702.5168403  2012-07-02T02:24:16    39  URANUS  daisy        850  32  1.86  0.719  0.043  0.177  25.4466  0.0288  0.00004  0.10571  0.11120  2.4921  0.0028  556.4809  5.7461  586.7691  10.6781  13.53  0.949
20120702.6039699  2012-07-02T04:29:44    51  URANUS  daisy        850  60  1.15  0.800  0.046  0.194  26.0494  0.0308  0.00004  0.11289  0.11817  2.4348  0.0029  523.7315  5.2333  553.3186  10.0536  13.24  0.946
20120704.5498032  2012-07-04T03:11:44    62  URANUS  daisy        850  45  1.41  0.762  0.046  0.193  25.3242  0.0255  0.00004  0.10792  0.11134  2.5127  0.0025  557.6070  5.9377  592.2153  10.1031  13.59  0.947
20120705.7420139  2012-07-05T07:48:31    79  URANUS  daisy        850  57  1.18  0.724  0.064  0.273  22.8704  0.0224  0.00004  0.08992  0.09425  2.7879  0.0027  660.0563  13.9013  791.0516  18.6433  13.39  0.952
20120707.7426852  2012-07-07T07:49:29    62  URANUS  daisy        850  55  1.21  0.653  0.081  0.353  24.8531  0.0256  0.00004  0.10493  0.11169  2.5741  0.0027  558.7875  6.0580  601.3949  12.3477  13.28  0.947
20120709.7654282  2012-07-09T08:22:14    58  URANUS  daisy        850  47  1.37  0.714  0.058  0.247  24.4516  0.0237  0.00004  0.09813  0.10015  2.6252  0.0025  625.2608  12.0695  738.7816  17.2520  13.31  0.951
20120710.5016551  2012-07-10T02:02:24    38  URANUS  daisy        850  34  1.75  0.600  0.068  0.291  24.5139  0.0266  0.00005  0.10271  0.10719  2.6218  0.0028  584.8690  5.4579  598.4176  11.9683  13.55  0.948
20120710.6655556  2012-07-10T05:58:25    55  URANUS  daisy        850  72  1.05  0.733  0.069  0.296  24.2545  0.0298  0.00004  0.10734  0.10915  2.6505  0.0033  574.5136  5.6796  602.6159  12.4076  13.28  0.946
20120710.7628472  2012-07-10T08:18:31    69  URANUS  daisy        850  47  1.37  0.675  0.067  0.287  24.5439  0.0239  0.00005  0.10174  0.10490  2.6197  0.0025  597.8662  6.6592  625.8544  13.3320  13.55  0.949
20120711.6735995  2012-07-11T06:10:00    56  URANUS  daisy        850  70  1.06  0.729  0.069  0.298  24.6062  0.0302  0.00004  0.10707  0.10967  2.6170  0.0032  572.7350  6.0405  602.9524  11.0703  13.35  0.947
20120713.5785301  2012-07-13T03:53:06    57  URANUS  daisy        850  61  1.14  0.750  0.059  0.253  24.6994  0.0302  0.00004  0.10570  0.11229  2.6154  0.0032  561.0969  6.7861  615.5373  10.7921  13.24  0.947
20120714.7205093  2012-07-14T07:17:33    35  URANUS  daisy        850  56  1.19  0.440  0.154  0.687  24.1609  0.0269  0.00007  0.10130  0.10486  2.6787  0.0030  601.9504  6.8344  629.8447  13.9157  13.48  0.948
20120715.6843287  2012-07-15T06:25:27    75  URANUS  daisy        850  66  1.09  0.753  0.061  0.259  24.8716  0.0291  0.00004  0.10814  0.11059  2.6063  0.0030  571.6511  6.4547  607.1592  12.1292  13.33  0.946
20120715.7330208  2012-07-15T07:35:34    85  URANUS  daisy        850  52  1.27  0.730  0.058  0.249  25.8148  0.0263  0.00004  0.10787  0.11292  2.5112  0.0026  559.8991  6.7107  596.8029  12.4482  13.32  0.948
20120717.7251042  2012-07-17T07:24:10   105  URANUS  daisy        850  52  1.25  0.407  0.160  0.717  22.0174  0.0408  0.00010  0.07696  0.08273  2.9539  0.0055  766.6739  10.8065  815.6673  15.5040  14.75  0.956
20120718.7240046  2012-07-18T07:22:35    95  URANUS  daisy        850  52  1.26  0.442  0.145  0.647  24.2336  0.0309  0.00007  0.09855  0.10304  2.6881  0.0034  616.4876  8.5091  673.8210  13.1724  13.54  0.950
20120719.7261227  2012-07-19T07:25:38    78  URANUS  daisy        850  50  1.29  0.575  0.098  0.429  25.5689  0.0258  0.00005  0.10977  0.11186  2.5519  0.0026  568.8022  5.8820  585.8749  12.6590  13.43  0.947
20120720.7316551  2012-07-20T07:33:36    73  URANUS  daisy        850  48  1.34  0.600  0.087  0.382  24.9701  0.0285  0.00006  0.10569  0.11156  2.6173  0.0030  571.2078  5.6096  594.7868  12.9258  13.31  0.948
20120721.4720833  2012-07-21T01:19:49    58  URANUS  daisy        850  34  1.75  0.679  0.052  0.221  24.9431  0.0263  0.00004  0.10713  0.11185  2.6232  0.0028  570.3738  5.8647  607.2950  11.3688  13.40  0.947
20120721.6610648  2012-07-21T05:51:57    82  URANUS  daisy        850  67  1.08  0.754  0.061  0.261  23.9813  0.0307  0.00004  0.10300  0.10983  2.7292  0.0035  581.0211  6.5469  624.5324  11.5629  13.16  0.947
20120724.6669097  2012-07-24T06:00:22    57  URANUS  daisy        850  64  1.11  0.656  0.087  0.379  25.9453  0.0270  0.00005  0.11271  0.11568  2.5346  0.0026  554.1947  6.4208  595.0776  12.6328  13.31  0.947
20120725.6481019  2012-07-25T05:33:17    58  URANUS  daisy        850  68  1.08  0.685  0.081  0.351  25.7076  0.0270  0.00005  0.11506  0.11743  2.5620  0.0027  546.7677  5.7014  580.3715  11.8205  13.19  0.945
20120726.5429745  2012-07-26T03:01:54    53  URANUS  daisy        850  61  1.14  0.585  0.107  0.473  26.4006  0.0470  0.00005  0.12974  0.12823  2.4981  0.0044  501.3705  5.9348  569.1524  12.2656  13.00  0.940
20120802.5294097  2012-08-02T02:42:22    26  URANUS  daisy        850  63  1.12  0.435  0.166  0.744  26.7022  0.0313  0.00009  0.10836  0.11546  2.4958  0.0029  562.5318  6.0974  582.0084  12.8599  13.56  0.950
20120803.7270023  2012-08-03T07:26:54    90  URANUS  daisy        850  37  1.66  0.312  0.157  0.703  26.8651  0.0348  0.00011  0.11063  0.11181  2.4850  0.0032  581.8810  5.4136  573.9774  13.5039  13.84  0.949
20120807.6136690  2012-08-07T04:43:42    59  URANUS  daisy        850  67  1.08  0.700  0.076  0.330  26.0256  0.0294  0.00004  0.11617  0.11858  2.5791  0.0029  551.5512  5.7210  590.2659  10.6510  13.20  0.945
20120807.7086111  2012-08-07T07:00:25    80  URANUS  daisy        850  39  1.57  0.623  0.070  0.300  26.1231  0.0287  0.00005  0.11191  0.11459  2.5698  0.0028  570.8144  6.3878  608.8009  12.0474  13.45  0.947
20120810.5075579  2012-08-10T02:10:54    14  URANUS  daisy        850  63  1.12  0.703  0.073  0.315  26.0981  0.0319  0.00004  0.11344  0.11687  2.5819  0.0032  561.7604  5.7258  590.3370  11.0848  13.34  0.947
20120810.6809491  2012-08-10T06:20:35    38  URANUS  daisy        850  45  1.39  0.690  0.062  0.266  25.4310  0.0289  0.00004  0.10122  0.10722  2.6502  0.0030  612.4489  6.7045  628.3572  11.2100  13.78  0.951
20120811.4141319  2012-08-10T23:56:22    12  URANUS  daisy        850  34  1.75  0.279  0.163  0.732  26.3408  0.0380  0.00011  0.10564  0.11041  2.5611  0.0037  595.3130  5.5666  596.9897  13.5452  13.92  0.950
20120811.6723032  2012-08-11T06:08:08    35  URANUS  daisy        850  47  1.35  0.424  0.142  0.634  26.1851  0.0283  0.00007  0.10494  0.10830  2.5772  0.0028  607.0955  8.7602  649.9637  13.6616  13.70  0.951
20120813.6205903  2012-08-13T04:53:40    53  URANUS  daisy        850  61  1.14  0.672  0.080  0.350  25.1569  0.0293  0.00005  0.11230  0.11348  2.6892  0.0031  580.7903  6.2867  628.6108  11.7916  13.25  0.945
20120814.4189005  2012-08-14T00:03:14    34  URANUS  daisy        850  39  1.58  0.539  0.089  0.392  23.3733  0.0382  0.00007  0.09304  0.09810  2.8973  0.0047  672.4658  7.8833  722.5337  11.6430  13.99  0.951
20120815.6309028  2012-08-15T05:08:31    46  URANUS  daisy        850  57  1.19  0.762  0.054  0.228  25.6236  0.0296  0.00005  0.10130  0.11147  2.6467  0.0031  592.6527  8.3123  646.3176  11.7889  13.52  0.950
20120816.6620370  2012-08-16T05:53:21    67  URANUS  daisy        850  46  1.38  0.821  0.035  0.143  25.8083  0.0286  0.00004  0.10289  0.10634  2.6310  0.0029  622.0281  7.7577  634.1932  12.7042  13.97  0.951
20120817.6314931  2012-08-17T05:09:22    87  URANUS  daisy        850  55  1.22  0.859  0.032  0.125  27.6341  0.0301  0.00003  0.12321  0.12710  2.4600  0.0027  520.9862  5.4072  557.7092  10.1396  13.14  0.945
20120818.6774653  2012-08-18T06:15:34    61  URANUS  daisy        850  39  1.57  0.823  0.031  0.124  26.9660  0.0304  0.00004  0.11271  0.12192  2.5240  0.0028  543.7856  6.1231  591.7281  10.2509  13.33  0.948
20120819.4086574  2012-08-18T23:48:29    31  URANUS  daisy        850  40  1.54  0.779  0.040  0.162  27.1899  0.0290  0.00004  0.11449  0.11807  2.5053  0.0027  561.9362  6.4584  593.3764  11.1925  13.63  0.948
20120823.6085185  2012-08-23T04:36:17    52  URANUS  daisy        850  57  1.19  0.756  0.055  0.235  26.4365  0.0289  0.00004  0.11649  0.11980  2.5884  0.0028  556.2933  5.7469  587.3657  11.0256  13.27  0.946
20120824.4429514  2012-08-24T00:37:52    35  URANUS  daisy        850  55  1.21  0.662  0.078  0.341  26.2984  0.0277  0.00004  0.11258  0.11811  2.6042  0.0027  564.6855  5.7791  590.7527  11.6899  13.35  0.947
20120824.6227315  2012-08-24T04:56:45    55  URANUS  daisy        850  51  1.27  0.661  0.075  0.325  25.9332  0.0305  0.00005  0.11213  0.11379  2.6414  0.0031  586.2494  5.6087  596.0463  12.0982  13.46  0.947
20120825.4458449  2012-08-25T00:42:02    31  URANUS  daisy        850  57  1.18  0.727  0.063  0.269  26.8638  0.0299  0.00004  0.11136  0.11731  2.5519  0.0028  569.0919  6.3472  593.5014  11.1313  13.49  0.949
20120826.4432870  2012-08-26T00:38:21    27  URANUS  daisy        850  57  1.18  0.756  0.056  0.236  27.8606  0.0293  0.00004  0.12225  0.12550  2.4630  0.0026  532.4882  5.3868  557.9547  10.4522  13.29  0.946
20120827.4219560  2012-08-27T00:07:38    24  URANUS  daisy        850  51  1.27  0.688  0.068  0.294  26.8086  0.0307  0.00005  0.11877  0.12073  2.5620  0.0029  554.0046  5.5585  583.0924  11.8918  13.29  0.946
20120828.6442477  2012-08-28T05:27:44    55  URANUS  daisy        850  41  1.52  0.558  0.088  0.385  27.0979  0.0303  0.00006  0.11277  0.11660  2.5375  0.0028  574.2407  6.2387  594.5554  12.8050  13.53  0.949
20120829.6642824  2012-08-29T05:56:35    57  URANUS  daisy        850  33  1.80  0.595  0.067  0.288  26.2721  0.0278  0.00005  0.11080  0.11470  2.6197  0.0028  584.3047  6.1856  610.7394  12.4762  13.56  0.949
20120830.4566898  2012-08-30T00:57:39    41  URANUS  daisy        850  64  1.11  0.300  0.241  1.087  25.0364  0.0408  0.00013  0.09869  0.10209  2.7508  0.0045  656.9018  8.0293  677.2805  13.5353  14.08  0.951
20120831.3905556  2012-08-30T23:22:25    48  URANUS  daisy        850  45  1.40  0.450  0.128  0.570  26.7232  0.0330  0.00007  0.10212  0.11103  2.5792  0.0032  604.4556  8.2109  652.9603  12.9478  13.89  0.953
20120831.5612847  2012-08-31T03:28:16    65  URANUS  daisy        850  63  1.11  0.586  0.109  0.480  26.5209  0.0287  0.00005  0.11235  0.11724  2.5993  0.0028  572.5456  6.9087  609.3633  12.0222  13.30  0.948
20120831.6657176  2012-08-31T05:58:39    79  URANUS  daisy        850  31  1.92  0.416  0.103  0.456  27.0469  0.0312  0.00008  0.10783  0.11385  2.5489  0.0029  589.6169  7.1054  619.5836  13.9797  13.67  0.950
20120901.6392014  2012-09-01T05:20:28    23  URANUS  daisy        850  39  1.58  0.467  0.109  0.481  26.8621  0.0319  0.00007  0.11534  0.11646  2.5685  0.0030  576.8333  6.0002  593.0726  13.2686  13.55  0.947
20120903.5893981  2012-09-03T04:08:45    54  URANUS  daisy        850  53  1.25  0.721  0.061  0.263  27.8796  0.0288  0.00004  0.12018  0.12496  2.4785  0.0026  538.4210  5.9611  566.9851  11.3734  13.32  0.947
20120904.4966551  2012-09-04T01:55:12    46  URANUS  daisy        850  72  1.05  0.810  0.048  0.200  27.5383  0.0331  0.00004  0.11276  0.12315  2.5109  0.0030  546.6770  6.2923  582.4126  11.3519  13.34  0.949
20120905.5452315  2012-09-05T03:05:09    48  URANUS  daisy        850  64  1.11  0.499  0.141  0.628  27.4551  0.0317  0.00006  0.11582  0.12156  2.5203  0.0029  554.1989  6.1295  588.4068  12.1563  13.34  0.948
20120906.4560069  2012-09-06T00:56:40    53  URANUS  daisy        850  68  1.07  0.702  0.076  0.330  25.5650  0.0319  0.00004  0.11228  0.11715  2.7083  0.0034  575.4268  6.4616  634.3786  11.5225  13.21  0.946
20120910.3588194  2012-09-09T22:36:43    28  URANUS  daisy        850  44  1.43  0.416  0.138  0.613  26.0398  0.0324  0.00008  0.10885  0.11198  2.6652  0.0033  603.3730  6.6920  630.7297  13.1434  13.61  0.948
20120911.6100694  2012-09-11T04:38:31    56  URANUS  daisy        850  39  1.57  0.457  0.112  0.498  27.5387  0.0303  0.00007  0.11635  0.12097  2.5218  0.0028  558.9070  6.0107  590.6728  12.7728  13.43  0.948
20120913.5514583  2012-09-13T03:14:07    62  URANUS  daisy        850  56  1.20  0.654  0.081  0.353  28.1920  0.0291  0.00005  0.12244  0.12647  2.4657  0.0025  535.0779  5.4202  559.5883  10.9423  13.30  0.947
20120914.5190278  2012-09-14T02:27:25    47  URANUS  daisy        850  64  1.11  0.747  0.061  0.263  27.1308  0.0346  0.00004  0.11209  0.11851  2.5632  0.0033  571.2431  6.3393  588.5375  11.0779  13.45  0.949
20120914.6360301  2012-09-14T05:15:54    62  URANUS  daisy        850  27  2.13  0.572  0.061  0.262  26.6028  0.0296  0.00006  0.11370  0.11595  2.6142  0.0029  583.8724  5.6773  601.3453  12.4184  13.51  0.948
20120915.5820486  2012-09-15T03:58:10    57  URANUS  daisy        850  44  1.42  0.583  0.087  0.381  27.2375  0.0288  0.00005  0.11716  0.12012  2.5543  0.0027  563.8224  5.5697  584.1708  12.0668  13.41  0.947
20120916.4715046  2012-09-16T01:18:59    40  URANUS  daisy        850  71  1.05  0.661  0.090  0.394  25.9117  0.0321  0.00005  0.11575  0.11879  2.6859  0.0033  570.3442  6.5923  632.6896  11.4852  13.15  0.945
20120916.5637153  2012-09-16T03:31:46    52  URANUS  daisy        850  49  1.31  0.619  0.084  0.366  26.9885  0.0297  0.00005  0.11512  0.12064  2.5788  0.0028  561.5967  5.9336  594.0706  11.3928  13.30  0.947
20120916.6502778  2012-09-16T05:36:25    62  URANUS  daisy        850  21  2.76  0.368  0.083  0.362  27.9759  0.0354  0.00009  0.11011  0.11843  2.4879  0.0031  572.1001  5.8186  586.2138  13.3086  13.73  0.951
